code_commune;commune_name;total_logements;residences_principales;residences_secondaires;taux_rsecocc_pct;classe_rsecocc
47155;Madaillan;310.131340156525;274.069560870125;18.5460579187204;5.980065706793805;Faible (5-10%)
47156;Marcellus;410.682209375633;365.260036784281;9.29089893914019;2.2623085994558414;Très faible (0-5%)
47157;Marmande;10612.233321128;9104.38276724416;303.210298619842;2.8571770846403988;Très faible (0-5%)
47158;Marmont-Pachas;72.0;63.0;3.0;4.166666666666666;Très faible (0-5%)
47159;Le Mas-D'Agenais;784.579447304848;657.069787482134;47.9436320933404;6.110742800876853;Faible (5-10%)
47160;Masquières;137.886489728595;84.9415204678365;49.0944260417944;35.60495748236686;Élevé (20-40%)
47161;Massels;72.1639111950872;54.9310344827584;7.09589041095893;9.833018046618855;Faible (5-10%)
47162;Massoulès;116.199938228972;87.0309278350512;23.3352083151367;20.08194554213503;Élevé (20-40%)
47163;Mauvezin Sur Gupie;295.0;256.0;19.0;6.440677966101695;Faible (5-10%)
47164;Mazières-Naresse;92.9142857142857;50.9142857142857;24.0;25.830258302583037;Élevé (20-40%)
47165;Meilhan-Sur-Garonne;724.525225419422;622.642579073818;54.7303472104487;7.553960205977056;Faible (5-10%)
47167;Mézin;961.768612695568;702.720169190337;89.3616723719596;9.291389965566028;Faible (5-10%)
47168;Miramont-De-Guyenne;2015.43987806111;1591.93288248953;42.451775212426;2.1063280366003965;Très faible (0-5%)
47169;Moirax;580.901966485714;520.558709042632;16.3642732049037;2.8170455858331382;Très faible (0-5%)
47170;Monbahus;416.239814259523;296.081663407941;38.3698296836982;9.218202672888674;Faible (5-10%)
47171;Monbalen;228.093258105309;187.732897744948;20.1801801801802;8.847337421460812;Faible (5-10%)
47172;Moncaut;286.056902143166;250.320810459935;21.4416550099391;7.495590859474513;Faible (5-10%)
47173;Monclar;569.728100948369;401.00140447731;36.3722219937612;6.384136912540566;Faible (5-10%)
47174;Moncrabeau;500.168173765593;354.375426206319;88.4811157601114;17.69027307234839;Moyen (10-20%)
47175;Monflanquin;1693.76963620487;1106.19026644833;399.83812035247;23.60640501552288;Élevé (20-40%)
47176;Montgaillard-En-Albret;102.464304774882;81.0584795321637;5.0966250577901;4.974049322822792;Très faible (0-5%)
47177;Monheurt;119.294736842105;83.2947368421052;5.99999999999999;5.029559692932148;Faible (5-10%)
47178;Monségur;206.0;183.0;16.0;7.766990291262135;Faible (5-10%)
